,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
1013,Large Charming Authentic family Flat Central Paris,48.88328,2.29608,8,530,Entire Place,5,0,5,48.88328 2.29608
1014,"1st district Louvre, 8 guests - Air conditioning",48.86348,2.34094,8,480,Entire Place,4.5,2,5,48.86348 2.34094
1015,Private Pool Suite in Le Marais,48.864,2.366,4,600,Hotel Rooms,5,1,5,48.864 2.366
1016,"Superbe appartement avec terrasse,St Germain des P",48.85451,2.33703,5,480,Entire Place,5,15,5,48.85451 2.33703
1018,4 Bedrooms Hôtel - Eiffel Tower,48.84374,2.30728,12,571,Entire Place,5,9,5,48.84374 2.30728
1020,Luxury 2 Bedroom Views - Monthly Rental,48.85234,2.34618,4,395,Entire Place,5,15,5,48.85234 2.34618
1021,Montmartre Garden Terrace Calm Charm Romantism,48.889,2.335,6,510,Entire Place,5,12,5,48.889 2.335
1022,BEVERLEY : A really exclusive apartment! BEV,48.85361,2.33067,6,586,Entire Place,5,15,5,48.85361 2.33067
1023,Trocadéro/Eiffel Tower- Luxuous 3 bedrooms-All new,48.862,2.279,8,583,Entire Place,5,3,5,48.862 2.279
1024,Luxurious & Elegant Paris  1-Bedr,48.866,2.331,3,464,Entire Place,5,2,5,48.866 2.331
1026,"Luxury 2 bedrooms 2 bathrooms, huge terrace and AC",48.84462,2.33226,5,450,Entire Place,5,15,5,48.84462 2.33226
1027,Residence Palestro - Superior,48.86596,2.35204,7,506,Entire Place,5,2,5,48.86596 2.35204
1028,"Luxury, Calm & Pleasure in 915 sqf.",48.873,2.315,4,513,Entire Place,5,7,5,48.873 2.315
1029,64sqm 2BDR - St Michel / Notre Dame,48.85,2.346,5,416,Entire Place,4.5,15,5,48.85 2.346
1030,Spectacular 3 bedroom with terrace,48.839,2.348,6,520,Entire Place,5,15,5,48.839 2.348
1031,"Opera, 2BR/2BA, 6 people",48.8514,2.36881,6,420,Entire Place,4.5,1,5,48.8514 2.36881
1032,Luxury Flat in the Heart of the City,48.86725,2.33483,4,395,Entire Place,5,2,5,48.86725 2.33483
1033,Sweet Inn | Elegant 3BR near Jardin des Tuileries,48.86285,2.33577,7,497,Entire Place,4.5,2,5,48.86285 2.33577
1034,Magnifique Appart 3BR/8P - Montorgueil 1,48.868,2.351,8,420,Entire Place,5,2,5,48.868 2.351
1035,View to Canal St Martin Quai de Valmy 2BDR,48.87488,2.36206,4,391,Entire Place,5,11,5,48.87488 2.36206
1036,"Amazing location Louvre - 8 guests, A/C.",48.86441,2.34297,8,515,Entire Place,4.5,2,5,48.86441 2.34297
1037,LivinParis | Luxury A/C 3 Bedrooms Le Marais I,48.86838,2.36079,8,445,Entire Place,5,1,5,48.86838 2.36079
1038,"Heart of the Latin Quarter, perfect for families !",48.84579,2.34268,12,473,Entire Place,5,15,5,48.84579 2.34268
1039,Chic 2Bedroom Apartment in the heart of Paris,48.86529,2.33764,4,419,Entire Place,4.5,2,5,48.86529 2.33764
1040,Saint-Germain-des-Prés spacious&luxury flat 4/10P,48.85519,2.32525,10,413,Entire Place,5,15,5,48.85519 2.32525
1041,LivinParis | Luxury 2 BDR Louvre - Sacré Cœur View,48.86672,2.34568,6,406,Entire Place,5,2,5,48.86672 2.34568
1042,Place des Vosges Saint Paul (8 pax) AC,48.85689,2.36178,8,531,Entire Place,4.5,1,5,48.85689 2.36178
1043,Appartement spacieux face au jardin des plantes,48.843,2.355,6,486,Entire Place,5,15,5,48.843 2.355
1044,Sweet Inn | Stylish 2BR near the Centre Pompidou,48.869,2.349,4,536,Entire Place,4.5,2,5,48.869 2.349
1045,AMAZING NEW LOFT - 8P/3BDR/3BTR - LATIN QUARTER,48.83989,2.35059,8,401,Entire Place,5,15,5,48.83989 2.35059
1047,"°°°  LOUVRE! IN THE CENTER, CLEAN & TRENDY! x6pers",48.85952,2.34835,6,500,Entire Place,5,2,5,48.85952 2.34835
1048,??of MARAIS | 3BR AC | 5?Refurb |  Lift | Luxury | 'Pad-à-Terre' est. '99,48.86036,2.36715,9,502,Entire Place,4.5,1,5,48.86036 2.36715
1049,Spacious Upscale Home in South St Germain 6,48.84363,2.32712,7,609,Entire Place,4.5,9,5,48.84363 2.32712
1050,Appartement8P/Full Equipped/BONNE NOUVELLE/BOURSE,48.86793,2.34793,8,493,Entire Place,5,2,5,48.86793 2.34793
1051,Central Paris spacious family flat with balcony,48.86869,2.34643,6,550,Entire Place,5,2,5,48.86869 2.34643
1052,"Le Celeste, 2 balconies with a view on Montmartre",48.883,2.329,4,467,Entire Place,5,7,5,48.883 2.329
1053,Luxury Home in Le Marais - Exceptional area,48.86273,2.36562,8,457,Entire Place,5,1,5,48.86273 2.36562
1054,Amazing 70sqm flat with 2BDR in St Michel,48.85,2.346,6,442,Entire Place,4.5,15,5,48.85 2.346
1055,1000 secrets apartment,48.85249,2.36294,4,450,Entire Place,5,1,5,48.85249 2.36294
1056,? SUPER HOST -Notre Dame & Quartier Latin- 4BDR  ?,48.85263,2.34432,9,453,Entire Place,5,15,5,48.85263 2.34432
1057,Central Le Marais 85m2 with elevator / Beauharnais,48.859,2.363,6,410,Private Rooms,5,1,5,48.859 2.363
1058,Amazing triplex 5 -  Sacrée Coeur  / Montmartre,48.88331,2.34342,8,393,Entire Place,4.5,12,5,48.88331 2.34342
1059,Prestige 3bedrms Apt at Opéra Bourse,48.87,2.343,8,446,Entire Place,4.5,2,5,48.87 2.343
1060,"Buckingham, 2BR/2BA, 6 people",48.86354,2.362,6,453,Entire Place,5,1,5,48.86354 2.362
1061,Invalides/St-Germain Luxury Two Bedroom,48.86,2.311,6,450,Entire Place,5,18,5,48.86 2.311
1062,Stylish And Spacious Loft In Saint-Germain,48.8427,2.33222,6,400,Entire Place,4.5,15,5,48.8427 2.33222
1063,Sumptuous 3 Bedrooms Opéra - Lafayette,48.874,2.348,7,438,Entire Place,5,2,5,48.874 2.348
1064,Magnificent loft in the very heart of the Marais,48.856,2.363,6,450,Entire Place,4.5,1,5,48.856 2.363
1065,"Luxury. Champs Elysees Beautiful appartment, 70m2",48.86937,2.3028,4,403,Entire Place,5,18,5,48.86937 2.3028
1068,Sublime and new apartment Haussmann Opera,48.87441,2.3245,12,428,Entire Place,4.5,7,5,48.87441 2.3245
1069,Bright 2 bedroom by Notre-Dame,48.848,2.349,4,447,Entire Place,5,15,5,48.848 2.349
1070,A Refined 2-BDR Duplex with Services in le Marais,48.856,2.359,4,410,Entire Place,4.5,1,5,48.856 2.359
1071,Quai d Orsay,48.86107,2.30263,4,400,Entire Place,5,18,5,48.86107 2.30263
1072,"Beaubois, 2BR/3BA, 6 people",48.87016,2.3378,6,448,Entire Place,4.5,2,5,48.87016 2.3378
1073,Edgar Suites Martyrs - Loft,48.87908,2.3405,6,446,Entire Place,5,12,5,48.87908 2.3405
1074,Premium 2 bedroom Flat,48.87308,2.34521,7,450,Entire Place,5,2,5,48.87308 2.34521
1075,The charm of the heart of Paris,48.86397,2.3576,6,467,Entire Place,5,1,5,48.86397 2.3576
1076,Heart of Paris. Apartment last floor with elevator,48.86076,2.34809,5,456,Entire Place,5,2,5,48.86076 2.34809
1077,Superbe Duplex Haussmannien près de la Tour Eiffel,48.868,2.296,4,430,Entire Place,5,18,5,48.868 2.296
1078,"Buckingham, 2BR/2BA, 6 people",48.8637,2.36223,6,459,Entire Place,5,1,5,48.8637 2.36223
1079,Nature & Haven of Peace Apartment,48.86581,2.2984,6,409,Entire Place,4.5,18,5,48.86581 2.2984
1080,LUXURY DESIGN PANORAMIC VIEW ST MICHEL-NOTRE DAME,48.85257,2.34539,6,459,Entire Place,5,15,5,48.85257 2.34539
1081,The Gatsby Apartment,48.86617,2.29694,6,450,Entire Place,5,18,5,48.86617 2.29694
1082,Authentique appartement parisien / 3BR,48.86709,2.34897,8,400,Entire Place,5,2,5,48.86709 2.34897
1083,Superbe Appartement design neuf haut marais,48.86336,2.36153,2,394,Entire Place,5,1,5,48.86336 2.36153
1084,? Exceptional property - 8p - Galeries Lafayette ?,48.87876,2.31548,8,418,Entire Place,4.5,7,5,48.87876 2.31548
1085,LivinParis | Luxury 3 Bedrooms Opera I,48.87513,2.34554,8,421,Entire Place,5,2,5,48.87513 2.34554
1086,Suite Opéra Bastille,48.85209,2.37117,8,403,Entire Place,4.5,1,5,48.85209 2.37117
1087,Cosy family/group apartment close to Notre Dame,48.85174,2.34774,12,400,Entire Place,5,15,5,48.85174 2.34774
1088,Séjours Parisiens / Le Royal / 4*,48.88,2.353,6,450,Entire Place,5,12,5,48.88 2.353
1089,"Il Palazzo, 4 chambres dans le 9ème",48.87256,2.34791,8,447,Entire Place,5,2,5,48.87256 2.34791
1090,Beautiful family apartment in the center of Paris,48.85926,2.344,10,443,Entire Place,4.5,2,5,48.85926 2.344
1091,"Heidi, 2BR/2BA, 6 people",48.86326,2.35724,6,399,Entire Place,4.5,1,5,48.86326 2.35724
1092,My Opéra de Paris II,48.87919,2.32846,6,462,Entire Place,5,7,5,48.87919 2.32846
1093,GuestReady - Large charming 3 bedrooms - Place Vendôme,48.86577,2.32639,5,413,Entire Place,4.5,7,5,48.86577 2.32639
1094,Trendy 82sqm 2-BDR - Champs Elysées,48.874,2.314,6,416,Entire Place,4.5,7,5,48.874 2.314
1095,"PA-RIS exceptional  duplex 7p, view, calm, space.",48.852,2.354,5,420,Entire Place,5,1,5,48.852 2.354
1097,"sublime appartement, paris",48.85443,2.36826,2,440,Entire Place,4.5,1,5,48.85443 2.36826
1098,Parisian Loft in the heart of the Latin Quarter,48.843,2.352,6,421,Entire Place,4.5,15,5,48.843 2.352
1099,Notre Dame-Balade pastorale-3BDR,48.85181,2.34774,8,441,Entire Place,5,15,5,48.85181 2.34774
1100,Coeur Marais - Magnifique Appt charme & lumineux,48.85973,2.35596,2,415,Entire Place,5,1,5,48.85973 2.35596
1101,Sweet Inn | Sophisticated Apt. near the Louvre,48.864,2.342,8,456,Entire Place,4,2,5,48.864 2.342
1102,LivinParis | Luxury 3 Bedrooms Le Marais II,48.86532,2.3575,8,463,Entire Place,5,1,5,48.86532 2.3575
1103,Croissants & Confitures,48.87841,2.33936,8,445,Entire Place,5,12,5,48.87841 2.33936
1104,1300 SQF PENTHOUSE IN LE MARAIS,48.862,2.353,6,439,Entire Place,5,2,5,48.862 2.353
1105,"""Perle rare""  proche  de l'avenue de Suffren",48.84508,2.30889,6,399,Entire Place,5,9,5,48.84508 2.30889
1106,Luxueux appartement  - Canal St Martin,48.87286,2.35729,12,425,Entire Place,5,2,5,48.87286 2.35729
1107,Odéon-Notre Dame de Paris   C     Climatisé - Wifi,48.84897,2.34016,6,430,Entire Place,5,15,5,48.84897 2.34016
1108,Charming apartment in Paris,48.85164,2.33178,4,394,Entire Place,5,15,5,48.85164 2.33178
1109,2D EIFFEL TOWER - LUXURY CHIC CLASSIC 3 BEDROOMS,48.84659,2.31174,7,449,Entire Place,5,9,5,48.84659 2.31174
1110,ASSURANCE INCL. 2CH/2SDB St Germain des Prés,48.85413,2.33808,4,428,Entire Place,5,15,5,48.85413 2.33808
1111,Very charming flat near Notre-Dame,48.85167,2.34906,8,434,Entire Place,4.5,15,5,48.85167 2.34906
1112,"Time Line, 3BR/2BA, 6 people",48.85262,2.3747,6,436,Entire Place,5,1,5,48.85262 2.3747
1113,Luxurious apartment Luxembourg garden piano,48.84124,2.33437,6,407,Entire Place,5,15,5,48.84124 2.33437
1114,Sweet Inn | Bright 2BR in Montmartre,48.88665,2.33928,6,435,Entire Place,4.5,12,5,48.88665 2.33928
1115,"St. Germain: superb 2bdrm,",48.85269,2.33234,4,410,Entire Place,4.5,15,5,48.85269 2.33234
1116,750 sqft bright Parisian apartment - St Lazare,48.879,2.321,6,400,Entire Place,5,7,5,48.879 2.321
1117,Creative Paradise in Bastille,48.85629,2.37419,2,392,Entire Place,5,1,5,48.85629 2.37419
1118,LivinParis | Luxury 3 Bedrooms Arc de Triomphe,48.87964,2.28964,8,451,Entire Place,5,0,5,48.87964 2.28964
1119,A Wonderful 2-BDR in le Marais,48.86039,2.35904,6,404,Entire Place,4,1,5,48.86039 2.35904
1120,Friends & Families,48.85,2.346,7,399,Entire Place,5,15,5,48.85 2.346
1121,Edgar Suites Saint-Lazare - Amsterdam 2,48.88014,2.32765,6,409,Entire Place,5,7,5,48.88014 2.32765
1122,Sweet Inn | Designed Apt. by the Champs-Elysées,48.872,2.307,9,590,Entire Place,4,18,5,48.872 2.307
1123,Paris 4th Beaubourg-Hotel de Ville 65m2,48.859,2.351,5,395,Entire Place,5,2,5,48.859 2.351
1124,Luxury apartment 4BR/8P - Notre Dame / Bastille,48.8526,2.36544,8,463,Entire Place,4.5,1,5,48.8526 2.36544
1125,0G EIFFEL TOWER LOFT PRIVAT GARDEN LUXURY 2BEDROOM,48.84678,2.31187,5,399,Entire Place,4.5,9,5,48.84678 2.31187
1126,LivinParis | Luxury 3 Bedrooms République,48.87157,2.36214,8,434,Entire Place,5,11,5,48.87157 2.36214
1127,1D EIFFEL TOWER CHIC CLASSIC 3 BEDROOMS,48.84647,2.31072,7,449,Entire Place,5,9,5,48.84647 2.31072
1128,Beautiful / Design apartment 10 pers Le Marais,48.85622,2.36771,10,429,Entire Place,4,1,5,48.85622 2.36771
1129,Beautiful Family Apartment in central Paris,48.87131,2.30736,10,450,Entire Place,4.5,18,5,48.87131 2.30736
1130,Superb apartment 3BR/6P - Champs Elysées,48.871,2.306,6,441,Entire Place,4.5,18,5,48.871 2.306
1131,"Penthouse sur les champs Elysées
Arc de Triomphe",48.87335,2.29987,4,400,Entire Place,4.5,18,5,48.87335 2.29987
1132,Superb appartement II- 3BR/6P- Champs Elysées,48.871,2.306,6,459,Entire Place,4.5,18,5,48.871 2.306
1133,Amazing 3BR/10P Place des Vosges - Le Marais,48.85896,2.36465,10,425,Entire Place,4,1,5,48.85896 2.36465
1134,"Paris view, Etoile, with 50 m2 terrace - 7th floor",48.879,2.294,2,422,Entire Place,5,18,5,48.879 2.294
1136,Luxueux appartement - 8P - Champs Elysées,48.87447,2.292,8,399,Entire Place,4.5,18,5,48.87447 2.292
1137,Appartement avec balcon proche des Champs Elysées,48.87659,2.30333,2,450,Entire Place,5,18,5,48.87659 2.30333
1138,MA-7-BELLAN,48.866,2.346,10,464,Entire Place,4.5,2,5,48.866 2.346
1139,Loft Bar à Vin - Tour Eiffel ! Parking Gratuit,48.84849,2.29526,6,399,Entire Place,5,3,5,48.84849 2.29526
1140,Comfortable near Montmartre,48.8813,2.33987,3,461,Entire Place,5,12,5,48.8813 2.33987
1143,Perfect for Families in Paris,48.875,2.342,4,435,Hotel Rooms,5,2,5,48.875 2.342
1144,5C EIFFEL TOWER TERRACE 3 BEDROOMS,48.846,2.311,8,449,Entire Place,4.5,9,5,48.846 2.311
1145,??  Charming - 4 bedrooms - St Germain-des-Pres??,48.85477,2.3353,5,432,Entire Place,5,15,5,48.85477 2.3353
1146,Superbe appartement pour 7 - Place des Vosges,48.85458,2.36583,7,450,Hotel Rooms,4.5,1,5,48.85458 2.36583
1148,Superbe logement au coeur du Paris Historique,48.86337,2.34144,4,425,Entire Place,5,2,5,48.86337 2.34144
1149,Charming Family Apartment next to Louvre,48.865,2.35,8,402,Entire Place,4.5,2,5,48.865 2.35
1150,#SafePlace #Lovely #LeMarais #HoteldeVille #Paris,48.85702,2.35857,4,400,Entire Place,5,1,5,48.85702 2.35857
1151,Amazing apartment - 8P - Le Bon Marché,48.84643,2.3225,8,563,Entire Place,4.5,9,5,48.84643 2.3225
1152,Luxurious Flat Eiffel Tower Champs Élysée,48.86598,2.28315,5,399,Entire Place,5,18,5,48.86598 2.28315
1154,CHEMIN VERT 4,48.85816,2.37545,10,480,Entire Place,5,1,5,48.85816 2.37545
1155,Handsome Duplex Montmartre Paris - 76 m²,48.88155,2.32783,6,440,Private Rooms,5,7,5,48.88155 2.32783
1156,Paris Le Marais Apartment rue de Bretagne 5 rooms,48.86416,2.36235,7,410,Entire Place,5,1,5,48.86416 2.36235
1157,LOUVRE 1-min??| 3BR AC | 5?Refurb | Seine 1-min??| 'Pad-à-Terre' est. '99,48.86056,2.34254,8,502,Entire Place,4.5,2,5,48.86056 2.34254
1158,Huge 4bedrooms Marais Historic bldg.,48.85334,2.364,7,550,Entire Place,5,1,5,48.85334 2.364
1159,"Luxury & design loft, high standard, great view!",48.83868,2.33714,6,399,Entire Place,4.5,15,5,48.83868 2.33714
1161,LivinParis | Luxury 4 Bedrooms Opera,48.87069,2.35066,10,571,Entire Place,5,2,5,48.87069 2.35066
1162,APPARTEMENT MONTMARTRE JARDIN & TERRASSE,48.88723,2.33644,8,421,Entire Place,5,12,5,48.88723 2.33644
1163,Luxury home in heart of PARIS!Opera/Eurostar 6pers,48.87539,2.3449,6,400,Entire Place,4.5,2,5,48.87539 2.3449
1164,Modern Loft in Saint Germain,48.8523,2.32943,4,414,Entire Place,4.5,15,5,48.8523 2.32943
1165,Beautiful 2 Bed rooms apartment in the Central,48.86391,2.34852,4,441,Entire Place,5,2,5,48.86391 2.34852
1166,EIFFEL TOWER VIEWS-FABULOUS LOCATION-LUXURY,48.858,2.306,3,448,Entire Place,5,18,5,48.858 2.306
1167,My Maison - Sentier - Loft,48.86881,2.35107,4,393,Entire Place,5,2,5,48.86881 2.35107
1168,« Travel to the Old Time » - Notre Dame - 3BDR/ AC,48.85019,2.34637,10,451,Entire Place,5,15,5,48.85019 2.34637
1169,Saint-Honoré Luxury Apartment 3 Bedrooms,48.87205,2.30891,6,523,Entire Place,5,18,5,48.87205 2.30891
1170,Prestigious apartment close to Elysée Palace,48.87222,2.31741,4,500,Entire Place,4.5,7,5,48.87222 2.31741
1171,Luxurious & Design Flat 2BR/8P -Blvd Saint Germain,48.85427,2.33688,8,456,Entire Place,4.5,15,5,48.85427 2.33688
1172,NEW - Appt Style le Corbusier avec Balcon - 8 pers,48.83948,2.30842,8,408,Entire Place,5,9,5,48.83948 2.30842
1173,Sweet Inn | Spacious 3BR Apt. in Saint Lazare,48.87639,2.32665,6,600,Entire Place,4.5,7,5,48.87639 2.32665
1174,Cosy and Charming Eiffel Tower Apartment,48.85834,2.30763,6,490,Entire Place,5,18,5,48.85834 2.30763
1175,Luxury house Triangle d’Or - Avenue Montaigne,48.86584,2.30289,4,500,Entire Place,5,18,5,48.86584 2.30289
1178,178-Suite Cesar,48.85435,2.38086,8,422,Entire Place,4.5,19,5,48.85435 2.38086
1179,Sweet Inn | Spacious 4BR with an artistic vibe,48.877,2.336,10,604,Entire Place,4.5,7,5,48.877 2.336
1180,?Magnifique appartement près des Champs Elysees?,48.87466,2.28365,4,400,Entire Place,5,18,5,48.87466 2.28365
1181,Like a house in the heart of Paris,48.86572,2.34266,7,424,Entire Place,5,2,5,48.86572 2.34266
1182,Amazing Luxury Triplex 3BR/8P - Arc de Triomphe,48.87888,2.29457,8,500,Entire Place,4.5,18,5,48.87888 2.29457
1183,CHEMIN VERT 3,48.86024,2.3755,10,500,Entire Place,5,1,5,48.86024 2.3755
1184,Appartement Chic à Opera (6/8 personnes),48.87084,2.33593,8,423,Entire Place,4.5,2,5,48.87084 2.33593
1185,LivinParis | Luxury 3 BDR Grands-Boulevards III,48.86956,2.35097,8,399,Entire Place,4.5,2,5,48.86956 2.35097
1186,Sweet Inn | Spacious 2BR in Le Marais,48.862,2.356,9,533,Entire Place,4.5,1,5,48.862 2.356
1187,Feel the history: Architect nest between rooftops,48.85382,2.37306,2,410,Entire Place,5,1,5,48.85382 2.37306
1188,PHILIPPE AUGUSTE 4,48.85721,2.39046,12,600,Entire Place,5,19,5,48.85721 2.39046
1189,Seine Penthouse - 3 bedroom - Free River Cruise,48.85698,2.34743,6,466,Entire Place,5,2,5,48.85698 2.34743
1190,Stunning apartment - Notre Dame - 4BDR,48.85059,2.34298,9,453,Entire Place,5,15,5,48.85059 2.34298
1191,A deux Pas de la Cathédrale Notre-Dame,48.85111,2.34755,10,436,Entire Place,4.5,15,5,48.85111 2.34755
1192,Beautiful loft in the heart of Paris,48.86835,2.34502,6,414,Entire Place,5,2,5,48.86835 2.34502
1193,Apartment Center of Paris / Grands boulevards,48.87089,2.34024,6,443,Entire Place,4,2,5,48.87089 2.34024
1195,Haussmann-Opéra APTHOTEL 130M2,48.881,2.334,8,589,Entire Place,5,7,5,48.881 2.334
1196,Formidable for Four & BB by the Eiffel Tower,48.8504,2.30843,4,481,Hotel Rooms,5,18,5,48.8504 2.30843
1197,LivinParis | Luxury 3 Bedrooms Grand-Boulevard I,48.86927,2.35141,6,403,Entire Place,4.5,2,5,48.86927 2.35141
1199,Charming 100m Flat Place des Vosges,48.85398,2.36623,5,606,Entire Place,4.5,1,5,48.85398 2.36623
1200,Classic Montparnasse,48.84473,2.32094,4,560,Entire Place,4.5,9,5,48.84473 2.32094
1201,"Narcisse, 3BR/3BA, 6 people",48.85841,2.36277,6,597,Entire Place,4.5,1,5,48.85841 2.36277
1202,"Villa Ballu, 3 chambres avec 3 Sdb",48.88075,2.32908,6,470,Entire Place,4,7,5,48.88075 2.32908
1203,Central!10mn walk to top 10 sights,48.86811,2.34633,10,580,Entire Place,4.5,2,5,48.86811 2.34633
1204,Rambuteau: 3 bedrooms - 2 Bathrooms - 2 toilets,48.86161,2.35381,5,550,Entire Place,5,2,5,48.86161 2.35381
1205,IN THE HEART OF TOURISTIC PARIS,48.85,2.341,6,590,Entire Place,5,15,5,48.85 2.341
1207,"Paris - Le Soleil des Saints-Pères, you will love it!",48.85163,2.32965,4,577,Entire Place,4,15,5,48.85163 2.32965
1208,Magnifique duplex de 126 m2 avec terrasse-jardin !,48.86042,2.3675,12,500,Entire Place,5,1,5,48.86042 2.3675
1209,THE BEST place-LE MARAIS/BASTILLE-3rooms3bathrooms,48.85606,2.37454,10,555,Entire Place,4.5,1,5,48.85606 2.37454
1210,Heart of Saint Germain,48.85175,2.339,3,552,Entire Place,4.5,15,5,48.85175 2.339
1212,Charming apartment 3BR/10P - Rex - Grands Boulevards,48.86871,2.35141,10,475,Entire Place,4,2,5,48.86871 2.35141
1213,Amazing loft close to Le Marais,48.85445,2.37702,12,510,Entire Place,5,19,5,48.85445 2.37702
1214,AMAZING APARTMENT /  EIFFEL TOWER (200 sqm),48.85633,2.28523,8,450,Entire Place,5,3,5,48.85633 2.28523
1217,"Superbe appartement loft, Paris Centre, 4 chambres",48.865,2.352,9,547,Entire Place,5,2,5,48.865 2.352
1218,Exquisite Flat - Eiffel Tower/Rue Cler/Invalides,48.85867,2.30772,7,490,Entire Place,5,18,5,48.85867 2.30772
1219,Luxury 3 bedroom 2 bathroom with AC - Louvre,48.86356,2.34375,8,362,Entire Place,4.5,2,5,48.86356 2.34375
1220,Sublime apartment Louvre Museum,48.86074,2.34075,8,363,Entire Place,4.5,2,5,48.86074 2.34075
1222,Luxury apartment in the 16th district,48.85714,2.27921,4,587,Entire Place,5,3,5,48.85714 2.27921
1223,Luxury Apartment on Monceau Park,48.877,2.31,6,391,Entire Place,5,18,5,48.877 2.31
1224,Brand new 2 bedrooms apartment next to Opéra,48.8698,2.33335,6,368,Entire Place,5,2,5,48.8698 2.33335
1225,Parisina **** Luxury at 1 minute walk from the Champs-Elysées,48.87424,2.29813,4,377,Entire Place,5,18,5,48.87424 2.29813
1226,Cosy Room in Paris,48.865,2.332,2,425,Hotel Rooms,5,2,5,48.865 2.332
1227,LivinParis | Luxury 3 Bedrooms Montmartre,48.87936,2.35244,8,419,Entire Place,5,2,5,48.87936 2.35244
1228,Amazing apartment 6P- Eiffel Tower's view,48.86365,2.29505,6,381,Entire Place,5,18,5,48.86365 2.29505
1229,????? Rare jewel in St-Germain-des-Prés,48.85276,2.33862,4,390,Entire Place,5,15,5,48.85276 2.33862
1230,Beauquartier Grands Boulevards - Le Beau Duplex 53,48.87347,2.34857,6,360,Entire Place,5,2,5,48.87347 2.34857
1231,Large and Stylish 3 Bedroom Apartment in the 9th,48.874,2.344,6,438,Entire Place,5,2,5,48.874 2.344
1232,2 BR/6P Epic View of Hotel de Ville & Notre Dame,48.85648,2.35106,6,460,Entire Place,5,2,5,48.85648 2.35106
1233,Beautiful apartment 2BR/6P - Marais/Republique - 7A,48.86637,2.36496,6,372,Entire Place,4.5,1,5,48.86637 2.36496
1234,Superb 2BR/6P flat - Marais/République 15B,48.8649,2.3645,6,366,Entire Place,5,1,5,48.8649 2.3645
1235,Heart of the Latin Quarter: Big loft with AC !,48.847,2.341,9,446,Entire Place,5,15,5,48.847 2.341
1236,"ILE-ST-LOUIS, ART  LUXURY, CHARM - MOBILITY  LEASE",48.85309,2.35776,4,461,Entire Place,5,1,5,48.85309 2.35776
1237,Oustanding Artist Loft - Between Marais et Canal,48.87009,2.35992,6,382,Entire Place,5,1,5,48.87009 2.35992
1239,Luxury 3 Bedroom 2 Bathroom Loft - Louvre Museum,48.85926,2.34896,10,365,Entire Place,4.5,2,5,48.85926 2.34896
1240,HOUSE IN MONTMARTRE WITH A TERRACE,48.88771,2.33493,8,454,Entire Place,5,12,5,48.88771 2.33493
1241,Charming Apartment at  St Germain des prés,48.84844,2.32988,4,401,Entire Place,5,15,5,48.84844 2.32988
1243,Luxueux appartement parisien 6ème,48.84772,2.3246,6,460,Entire Place,5,15,5,48.84772 2.3246
1245,Magnifique Appart 3BR/8P - Montorgueil 8,48.868,2.351,8,379,Entire Place,5,2,5,48.868 2.351
1246,Panthéon Luxembourg Gardens Charming Two Bedroom,48.843,2.342,5,373,Entire Place,5,15,5,48.843 2.342
1247,Splendid flat 2BR/6P - Marais/Republique,48.86423,2.36511,6,366,Entire Place,5,1,5,48.86423 2.36511
1250,Large Apart 2 minutes to JARDIN DE LUXEMBOURG,48.84542,2.3291,6,383,Entire Place,5,15,5,48.84542 2.3291
1251,Superb 2BR/6P flat - Marais/République 15A,48.86582,2.36266,6,360,Entire Place,5,1,5,48.86582 2.36266
1253,Grands boulevards Design Folies Bergères,48.874,2.343,6,364,Entire Place,5,2,5,48.874 2.343
1255,Trendy 120sqm 2-BDR in Louvre apt 2,48.864,2.344,4,384,Entire Place,4.5,2,5,48.864 2.344
1257,So Very Paris 2bd/2ba Luxembourg Gd,48.845,2.329,4,356,Entire Place,5,15,5,48.845 2.329
1259,? 4 BED/ 3 BATH ? Spacious flat in Marais ?,48.86131,2.35987,10,699,Entire Place,4.5,1,5,48.86131 2.35987
1260,Outstanding Luxury Flat 4P-Boulevard Saint Germain,48.85244,2.33652,4,364,Entire Place,4.5,15,5,48.85244 2.33652
1264,Amazing apartment 2BR/6P - Madeleine / Haussmann,48.87259,2.32674,6,362,Entire Place,4.5,7,5,48.87259 2.32674
1265,A Trendy 2-BR loft with Parking,48.874,2.351,6,353,Entire Place,4.5,2,5,48.874 2.351
1266,NEW Loft Apt in the Heart of Paris - An Ecoloflat,48.873,2.354,6,375,Entire Place,5,2,5,48.873 2.354
1268,LivinParis | Luxury 2 Bedrooms Le Marais I,48.86633,2.36079,6,364,Entire Place,5,1,5,48.86633 2.36079
1272,Edgar Suites Martyrs - Lebas 2,48.87819,2.33874,5,379,Entire Place,5,12,5,48.87819 2.33874
1275,Elegant Apartment Montmartre Paris - 60 m²,48.8812,2.32979,4,367,Private Rooms,4.5,7,5,48.8812 2.32979
1276,"Voyageur Sans Bagage, 3BR/3BA, 7 people",48.87031,2.33383,7,425,Entire Place,4.5,2,5,48.87031 2.33383
1278,Luxury 3 bedroom Apartment - Le Marais,48.86208,2.36064,6,381,Entire Place,5,1,5,48.86208 2.36064
1279,Superb apartment-2BR/4P- Champs Elysées,48.871,2.306,4,357,Entire Place,4.5,18,5,48.871 2.306
1280,Duplex St-Michel - Quartier latin,48.85219,2.34342,5,403,Entire Place,4.5,15,5,48.85219 2.34342
