,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
306,A PROXIMITE DES JARDINS DU LUXEMBOURG,48.83815,2.33874,5,320,Entire Place,5,15,4,48.83815 2.33874
309,Chambre de bonne / studio 10m2 avec cuisine,48.88086,2.32627,2,30,Entire Place,5,7,1,48.88086 2.32627
310,Luxurious and design flat in Montmartre,48.89031,2.3256,6,163,Entire Place,5,7,3,48.89031 2.3256
313,Comme à la campagne au calme face à Paris,48.81862,2.36842,2,43,Private Rooms,5,5,1,48.81862 2.36842
317,Charming studio apartment in central Paris,48.85568,2.35179,2,70,Entire Place,4.5,1,2,48.85568 2.35179
318,Cozy and comfortable studio in Paris le Marais,48.85572,2.35407,2,112,Entire Place,5,1,3,48.85572 2.35407
319,Private bedroom in a town house,48.81837,2.36951,2,44,Private Rooms,5,5,1,48.81837 2.36951
320,Amazing view studio Notre Dame,48.85402,2.35093,4,120,Entire Place,5,15,3,48.85402 2.35093
321,??Magnificent Apartment overlooking the Seine-6p??,48.85407,2.35313,6,184,Entire Place,4.5,1,3,48.85407 2.35313
322,Studio - L’Ile Saint Louis,48.8538,2.35464,2,150,Entire Place,4.5,1,3,48.8538 2.35464
323,PARIS RIVOLI NOTRE DAME  Ch d'Hôte studio PRIVATE,48.85471,2.35562,2,129,Private Rooms,5,1,3,48.85471 2.35562
324,Grand Studio - Rivoli / Louvre- 2 Guests,48.85518,2.35715,2,175,Entire Place,5,1,3,48.85518 2.35715
327,Le Marais - Hôtel de Ville Studio with Open Views,48.85464,2.35726,2,131,Entire Place,3.5,1,3,48.85464 2.35726
328,Relaxing flat on Saint Louis Island w/ Seine view,48.85317,2.35544,3,160,Entire Place,4.5,1,3,48.85317 2.35544
329,Beautiful modern flat with continuous terrace,48.85561,2.35671,2,188,Entire Place,5,1,3,48.85561 2.35671
332,Vue sur seine sur l'île Saint-Louis,48.85346,2.35569,5,338,Entire Place,5,1,4,48.85346 2.35569
334,"NOTRE DAME:bright, elegant apt 2 BR",48.854,2.351,4,363,Entire Place,5,15,5,48.854 2.351
337,Balconies - Île Saint-Louis,48.85386,2.35273,4,199,Entire Place,5,1,3,48.85386 2.35273
338,A stunning view,48.85435,2.35199,4,295,Entire Place,5,1,4,48.85435 2.35199
339,Romantic flat -  Ile Saint Louis,48.85327,2.35519,2,105,Entire Place,5,1,3,48.85327 2.35519
342,Classic and modern apartment in the heart of Paris,48.88087,2.32612,2,65,Entire Place,4,7,2,48.88087 2.32612
344,Paris Marais Charm&Comfort 1bedroom,48.8557,2.35135,2,120,Private Rooms,4.5,1,3,48.8557 2.35135
345,2 bedrooms apartment on island near Notre Dame,48.85368,2.35325,4,300,Entire Place,5,1,4,48.85368 2.35325
351,"Petit Louis, 1BR/1BA, 2 people",48.85346,2.35371,2,140,Entire Place,4.5,1,3,48.85346 2.35371
352,Splendide duplex sur les quais de l’île St-Louis,48.8532,2.35693,6,1215,Entire Place,5,1,5,48.8532 2.35693
369,Charmant appartement lumineux Père Lachaise,48.86079,2.38985,2,85,Entire Place,4.5,19,2,48.86079 2.38985
372,LivinParis | Luxury 4 Bedrooms Montmartre,48.88131,2.35403,10,488,Entire Place,5,12,5,48.88131 2.35403
374,"Chambre Privée, quartier Père Lachaise avec Balcon",48.86452,2.38825,1,45,Private Rooms,5,19,1,48.86452 2.38825
375,Apt with panoramic view of Paris,48.8595,2.39098,2,133,Entire Place,5,19,3,48.8595 2.39098
376,Designer's flat overlooking Paris,48.85878,2.38854,2,120,Entire Place,5,19,3,48.85878 2.38854
377,A small nest for the lovers of Paris!,48.85902,2.38883,2,60,Entire Place,5,19,2,48.85902 2.38883
378,(NEW) Studio de charme avec vue sur Paris,48.86352,2.39257,3,86,Entire Place,5,19,2,48.86352 2.39257
379,Jolie studio au pied du métro Père Lachaise,48.86361,2.388,2,58,Entire Place,4.5,19,2,48.86361 2.388
381,Appartement typique Parisien face au Père Lachaise,48.86443,2.39851,2,120,Entire Place,5,19,3,48.86443 2.39851
383,Maison au coeur de Paris,48.85907,2.38911,2,65,Private Rooms,5,19,2,48.85907 2.38911
385,Appartement calme Paris 20ème,48.86436,2.39217,2,58,Entire Place,4.5,19,2,48.86436 2.39217
386,bonjour et bienvenue,48.86465,2.38832,1,59,Private Rooms,5,19,2,48.86465 2.38832
388,Studio indépendant à 2 pas de la Place Gambetta,48.86382,2.39911,2,68,Entire Place,5,19,2,48.86382 2.39911
389,APPART '2P DE CHARME - PARIS 20E - PERE LACHAISE,48.86338,2.3975,2,70,Entire Place,5,19,2,48.86338 2.3975
397,????Appartement Cosy au cœur Paris Père Lachaise,48.85989,2.38844,6,121,Entire Place,4.5,19,3,48.85989 2.38844
398,Studio 25 m2 near Père-Lachaise,48.85836,2.39919,2,60,Entire Place,4.5,19,2,48.85836 2.39919
399,"In Paris, quiet and  cosy apartment",48.858,2.398,2,75,Entire Place,5,19,2,48.858 2.398
402,BEL et LUMINEUX Appt-Cimetière du Père Lachaise,48.858,2.4,4,150,Entire Place,4.5,19,3,48.858 2.4
403,Apartment in nature!,48.85821,2.39085,2,106,Entire Place,5,19,3,48.85821 2.39085
404,PARIS - magnifique appartement - 11ème,48.85826,2.39311,2,94,Entire Place,5,19,2,48.85826 2.39311
406,Appartement chaleureux à 2m du Père Lachaise,48.86113,2.39872,4,95,Entire Place,5,19,2,48.86113 2.39872
407,République/Bastille Chic & Design Apartment 6P/2BR,48.86003,2.38855,6,173,Entire Place,4.5,19,3,48.86003 2.38855
408,Private room - Calm apartment - feel like home,48.85868,2.38942,2,48,Private Rooms,5,19,1,48.85868 2.38942
410,Appartement bohème & cosy au coeur du 11ème,48.86146,2.38855,2,90,Entire Place,4.5,19,2,48.86146 2.38855
411,Cosy room in a loft - Père Lachaise,48.86458,2.39735,2,50,Private Rooms,4.5,19,1,48.86458 2.39735
412,Charming flat with balcony in the centre of Paris - Welkeys,48.86358,2.39915,4,118,Entire Place,4,19,3,48.86358 2.39915
413,Charmant Appt  2/4 pers Quartier Père Lachaise,48.86414,2.39894,4,90,Entire Place,4.5,19,2,48.86414 2.39894
414,APPARTEMENT COSY VUE PÈRE LACHAISE TRIO,48.86326,2.39857,3,65,Private Rooms,4.5,19,2,48.86326 2.39857
415,Spacious Flat - Ideal for Families- Père Lachaise,48.85888,2.39083,5,105,Entire Place,4.5,19,3,48.85888 2.39083
416,Chambre privée,48.8582,2.39161,2,55,Private Rooms,5,19,2,48.8582 2.39161
417,"Appartement très calmes , quartier Père Lachaise .",48.86259,2.3987,3,52,Entire Place,4.5,19,2,48.86259 2.3987
418,"1 RoOm in Père LAchaise, EnjOy",48.86229,2.38923,2,32,Private Rooms,5,19,1,48.86229 2.38923
419,Apt familial gambetta avec possibilite parking,48.86368,2.39172,5,190,Entire Place,5,19,3,48.86368 2.39172
420,COSY AND QUIET FLAT / GAMBETTA,48.86324,2.39838,2,98,Entire Place,5,19,2,48.86324 2.39838
421,Paris. Romantic & authentic.,48.85943,2.3982,2,90,Entire Place,5,19,2,48.85943 2.3982
422,Studio 4P Calme/Full Equipped/Charonne/PereLachese,48.85773,2.39856,4,139,Entire Place,4,19,3,48.85773 2.39856
423,Spacious Parisian apartment,48.86458,2.39743,2,126,Entire Place,5,19,3,48.86458 2.39743
424,Nice & quiet flat at Père Lachaise,48.85872,2.38827,4,110,Entire Place,4.5,19,3,48.85872 2.38827
425,PHILIPPE AUGUSTE 3,48.85825,2.38847,12,630,Entire Place,5,19,5,48.85825 2.38847
427,Appartement lumineux Paris,48.86424,2.38807,2,80,Entire Place,5,19,2,48.86424 2.38807
